user,articleName,sectionIndex,sentenceIndex,filename,sentence,fs_span,fs_text
62ab763c2653e8005020f166,Acid catalysis,3,1,2613631019340008-2053312_3_1.mp4,"Two kinds of acid catalysis are recognized, specific acid catalysis and general acid catalysis.","[(76, 93), (102, 160), (233, 256), (275, 320), (374, 404), (409, 471)]","['acid', 'catalysis', 'acid', 'catalysis', 'acid', 'catalysis']"
62ab763c2653e8005020f166,Acid catalysis,4,0,20418874154319577-2053312_4_0.mp4,Specific catalysis,"[(57, 116)]",['catalysis']
62ab763c2653e8005020f166,Acid catalysis,4,1,5857885353949319-2053312_4_1.mp4,"In specific acid catalysis, protonated solvent is the catalyst.","[(70, 87), (96, 148), (182, 260), (275, 314), (358, 400)]","['acid', 'catalyst', 'protonated', 'solvent', 'catalyst']"
62ab763c2653e8005020f166,Acid catalysis,4,2,8006330229616381-2053312_4_2.mp4,The reaction rate is proportional to the concentration of the protonated solvent molecules SH+.,"[(83, 106), (252, 308), (323, 356), (364, 394)]","['rate', 'protonated', 'solvent', 'molecules']"
62ab763c2653e8005020f166,Acid catalysis,4,3,30690322828353245-2053312_4_3.mp4,The acid catalyst itself (AH) only contributes to the rate acceleration by shifting the chemical equilibrium between solvent S and AH in favor of the SH+ species.,"[(48, 58), (64, 90), (96, 141), (240, 253), (451, 464)]","['the', 'acid', 'catalyst', 'rate', 'solvent']"
62ab763c2653e8005020f166,Acid catalysis,4,4,9247085060358196-2053312_4_4.mp4,"This kind of catalysis is common for strong acids in polar solvents, such as water.","[(54, 100), (160, 180), (224, 240)]","['catalysis', 'acids', 'solvents']"
62ab763c2653e8005020f166,Acid catalysis,4,5,3222092245734818-2053312_4_5.mp4,"For example, in an aqueous buffer solution the reaction rate for reactants R depends on the pH of the system but not on the concentrations of different acids.","[(118, 138), (147, 160), (211, 224), (467, 484)]","['aqueous', 'buffer', 'reaction', 'acids']"
62ab763c2653e8005020f166,Acid catalysis,4,6,0748193140140403-2053312_4_6.mp4,"This type of chemical kinetics is observed when reactant R1 is in a fast equilibrium with its conjugate acid R1H+ which proceeds to react slowly with R2 to the reaction product; for example, in the acid catalysed aldol reaction.","[(76, 93), (595, 615), (652, 688), (697, 740)]","['kinetics', 'acid', 'catalysed', 'aldol']"
62ab763c2653e8005020f166,Acid catalysis,5,0,8873444915667041-2053312_5_0.mp4,General catalysis,"[(60, 109)]",['catalysis']
62ab763c2653e8005020f166,Acid catalysis,5,1,33606358213808063-2053312_5_1.mp4,In general acid catalysis all species capable of donating protons contribute to reaction rate acceleration.,"[(73, 106), (108, 135), (358, 378)]","['acid', 'catalysis', 'rate']"
62ab763c2653e8005020f166,Acid catalysis,5,2,3702990788321605-2053312_5_2.mp4,The strongest acids are most effective.,"[(67, 84)]",['acids']
62ab763c2653e8005020f166,Acid catalysis,5,3,47838206353440005-2053312_5_3.mp4,"Reactions in which proton transfer is rate-determining exhibit general acid catalysis, for example diazonium coupling reactions.","[(128, 141), (208, 224), (236, 269), (304, 384)]","['rate', 'acid', 'catalysis', 'diazonium']"
62ab763c2653e8005020f166,Acid catalysis,5,4,9606778822855926-2053312_5_4.mp4,When keeping the pH at a constant level but changing the buffer concentration a change in rate signals a general acid catalysis.,"[(176, 192), (291, 308), (364, 394), (416, 471)]","['buffer', 'rate', 'acid', 'catalysis']"
62ab763c2653e8005020f166,Acid catalysis,5,5,362900953507719-2053312_5_5.mp4,A constant rate is evidence for a specific acid catalyst.,"[(54, 74), (156, 180), (188, 247)]","['rate', 'acid', 'catalyst']"
62ab763c2653e8005020f166,Acid catalysis,5,6,9014849123462072-2053312_5_6.mp4,"When reactions are conducted in nonpolar media, this kind of catalysis is important because the acid is often not ionized.","[(166, 189), (227, 244), (284, 311), (380, 394), (448, 490)]","['polar', 'media', 'catalysis', 'acid', 'ionized']"
62ab763c2653e8005020f166,Acid catalysis,5,7,526295323694365-2053312_5_7.mp4,Enzymes catalyze reactions using general-acid and general-base catalysis.,"[(28, 68), (83, 119), (176, 189), (227, 240), (256, 314)]","['enzymes', 'catalyze', 'acid', 'base', 'catalysis']"
62a0cece9bbab800502f2e90,Acid catalysis,0,0,3469568347032377-2053312_0_0.mp4,"In acid catalysis and base catalysis, a chemical reaction is catalyzed by an acid or a base.","[(16, 48), (64, 125), (144, 164), (172, 256), (368, 384), (406, 426)]","['acid', 'catalysis', 'acid', 'acid', 'base']"
62a0cece9bbab800502f2e90,Acid catalysis,0,1,6535246360763078-2053312_0_1.mp4,"By Brønsted–Lowry acid–base theory, the acid is the proton donor and the base is the proton acceptor.","[(35, 144), (150, 170), (172, 186), (243, 250), (348, 365)]","['Brønsted–Lowry', 'acid', 'base', 'acid', 'base']"
62a0cece9bbab800502f2e90,Acid catalysis,0,2,162902803133941-2053312_0_2.mp4,Typical reactions catalyzed by proton transfer are esterfications and aldol reactions.,"[(131, 141), (211, 276), (291, 320)]","['by', 'esterfications', 'aldol']"
62a0cece9bbab800502f2e90,Acid catalysis,0,3,8682723740992597-2053312_0_3.mp4,"In these reactions, the conjugate acid of the carbonyl group is a better electrophile than the neutral carbonyl group itself.","[(115, 125), (137, 183), (339, 356)]","['acid', 'carbonyl', 'carbonyl']"
62a0cece9bbab800502f2e90,Acid catalysis,0,4,06002945331667209-2053312_0_4.mp4,"Depending on the chemical species that act as the acid or base, catalytic mechanisms can be classified as either specific catalysis and general catalysis.","[(163, 176), (179, 208), (352, 388)]","['acid', 'base', 'catalysis']"
62a0cece9bbab800502f2e90,Acid catalysis,0,5,8080872019929968-2053312_0_5.mp4,Many enzymes operate by specific catalysis.,"[(38, 93)]",['enzymes']
62a0cece9bbab800502f2e90,Acid catalysis,1,0,09987150294953562-2053312_1_0.mp4,Brønsted acids,"[(22, 96), (102, 122)]","['Brønsted', 'acids']"
62a0cece9bbab800502f2e90,Acid catalysis,1,1,06325081138690791-2053312_1_1.mp4,Acid catalysis is mainly used for organic chemical reactions.,"[(19, 61), (153, 167)]","['acid', 'Organic']"
62a0cece9bbab800502f2e90,Acid catalysis,1,2,3325635868802863-2053312_1_2.mp4,Many acids can function as sources for the protons.,"[(51, 64)]",['acids']
62a0cece9bbab800502f2e90,Acid catalysis,1,3,5535159601937407-2053312_1_3.mp4,"Acid used for acid catalysis include hydrofluoric acid (in the alkylation process), phosphoric acid, toluenesulfonic acid, polystyrene sulfonate, heteropoly acids, zeolites.","[(12, 45), (83, 100), (150, 199), (211, 234), (272, 340), (380, 420), (428, 439), (470, 554), (566, 586), (614, 708)]","['acid', 'alkylation', 'fluoric', 'acids', 'acid', 'phosphoric', 'acid', 'toluenesulfonic', 'acid', 'polystyrene']"
62a0cece9bbab800502f2e90,Acid catalysis,1,4,722981001293447-2053312_1_4.mp4,"Strong acids catalyze the hydrolysis and  transesterification of esters, e.g. for processing fats into biodiesel.","[(60, 74), (118, 173), (198, 285), (291, 301), (307, 330), (422, 480)]","['acid', 'hydrolysis', 'transesterification', 'of', 'esters', 'diesel']"
62a0cece9bbab800502f2e90,Acid catalysis,1,5,549271680412984-2053312_1_5.mp4,"In terms of mechanism, the carbonyl oxygen is susceptible to protonation, which enhances the electrophilicity at the carbonyl carbon.","[(73, 96), (284, 308)]","['carbonyl', 'carbonyl']"
62a0cece9bbab800502f2e90,Acid catalysis,2,0,6247375161038826-2053312_2_0.mp4,Solid acid catalysts,"[(54, 74), (80, 128)]","['acid', 'catalyst']"
62a0cece9bbab800502f2e90,Acid catalysis,2,1,6826760684155404-2053312_2_1.mp4,"In industrial scale chemistry, many processes are catalysed by ""solid acids"".","[(214, 237)]",['acids']
62a0cece9bbab800502f2e90,Acid catalysis,2,2,38690500118590543-2053312_2_2.mp4,Solid acids do not dissolve in the reaction medium.,"[(60, 77)]",['acids']
62a0cece9bbab800502f2e90,Acid catalysis,2,3,48619019696520116-2053312_2_3.mp4,Such acids are used in cracking.,"[(48, 61)]",['acids']
62a0cece9bbab800502f2e90,Acid catalysis,2,4,8518295529708098-2053312_2_4.mp4,"A particularly large scale application is alkylation, e.g., the combination of benzene and ethylene to give ethylbenzene.","[(176, 244), (300, 333), (364, 404), (432, 519)]","['ethylbenzene', 'benzene', 'ethylene', 'alkylation']"
62a0cece9bbab800502f2e90,Acid catalysis,2,5,691481518892459-2053312_2_5.mp4,Another major application is the rearrangement of cyclohexanone oxime to caprolactam.,"[(163, 202), (214, 240), (268, 336)]","['cyclohexanone', 'oxime', 'caprolactam']"
62a0cece9bbab800502f2e90,Acid catalysis,2,6,48359716481613013-2053312_2_6.mp4,"Many alkylamines are prepared by amination of alcohols, catalyzed by solid acids.","[(80, 144), (179, 189), (211, 276), (278, 285), (371, 378), (412, 432)]","['alkylamines', 'by', 'amine', 'of', 'by', 'acids']"
62a0cece9bbab800502f2e90,Acid catalysis,2,7,7704212340252432-2053312_2_7.mp4,"In this role, the acid converts, OH−, a poor leaving group, into a good one.","[(99, 122)]",['acid']
62a0cece9bbab800502f2e90,Acid catalysis,2,8,6561505977703468-2053312_2_8.mp4,"Thus acids are used to convert alcohols into other classes of compounds, such as thiols and amines.","[(16, 39), (185, 218), (233, 276)]","['acids', 'thiols', 'amines']"
62a0cece9bbab800502f2e90,Acid catalysis,3,0,949734576241603-2053312_3_0.mp4,Mechanism,"[(16, 100)]",['Mechanism']
62a0cece9bbab800502f2e90,Acid catalysis,3,1,22652598533748547-2053312_3_1.mp4,"Two kinds of acid catalysis are recognized, specific acid catalysis and general acid catalysis.","[(64, 80), (166, 183), (236, 260)]","['acid', 'acid', 'acid']"
62a0cece9bbab800502f2e90,Acid catalysis,4,0,25932881908286465-2053312_4_0.mp4,Specific catalysis,[],[]
62a0cece9bbab800502f2e90,Acid catalysis,4,1,6439368049518701-2053312_4_1.mp4,"In specific acid catalysis, protonated solvent is the catalyst.","[(83, 103), (144, 196)]","['acid', 'protonated']"
62a0cece9bbab800502f2e90,Acid catalysis,4,2,02569989465228817-2053312_4_2.mp4,The reaction rate is proportional to the concentration of the protonated solvent molecules SH+.,"[(92, 109), (307, 330)]","['SH', 'molecules']"
62a0cece9bbab800502f2e90,Acid catalysis,4,3,7136387094169796-2053312_4_3.mp4,The acid catalyst itself (AH) only contributes to the rate acceleration by shifting the chemical equilibrium between solvent S and AH in favor of the SH+ species.,"[(19, 55)]",['acid']
62a0cece9bbab800502f2e90,Acid catalysis,4,4,22884475902786172-2053312_4_4.mp4,"This kind of catalysis is common for strong acids in polar solvents, such as water.","[(156, 170), (198, 218)]","['acids', 'polar']"
62a0cece9bbab800502f2e90,Acid catalysis,4,5,7119216712801826-2053312_4_5.mp4,"For example, in an aqueous buffer solution the reaction rate for reactants R depends on the pH of the system but not on the concentrations of different acids.","[(134, 157), (531, 548)]","['buffer', 'acids']"
62a0cece9bbab800502f2e90,Acid catalysis,4,6,7029413779561873-2053312_4_6.mp4,"This type of chemical kinetics is observed when reactant R1 is in a fast equilibrium with its conjugate acid R1H+ which proceeds to react slowly with R2 to the reaction product; for example, in the acid catalysed aldol reaction.","[(160, 189), (412, 423), (793, 813), (880, 919)]","['kinetics', 'acid', 'R1H', 'aldol']"
62a0cece9bbab800502f2e90,Acid catalysis,5,0,4344583676393665-2053312_5_0.mp4,General catalysis,[],[]
62a0cece9bbab800502f2e90,Acid catalysis,5,1,1913965036884142-2053312_5_1.mp4,In general acid catalysis all species capable of donating protons contribute to reaction rate acceleration.,"[(51, 68)]",['acid']
62a0cece9bbab800502f2e90,Acid catalysis,5,2,9147054903894252-2053312_5_2.mp4,The strongest acids are most effective.,"[(70, 87)]",['acid']
62a0cece9bbab800502f2e90,Acid catalysis,5,3,3762750176404053-2053312_5_3.mp4,"Reactions in which proton transfer is rate-determining exhibit general acid catalysis, for example diazonium coupling reactions.","[(262, 276), (352, 420)]","['acid', 'diazonium']"
62a0cece9bbab800502f2e90,Acid catalysis,5,4,4637339724830707-2053312_5_4.mp4,When keeping the pH at a constant level but changing the buffer concentration a change in rate signals a general acid catalysis.,"[(188, 208), (470, 484)]","['buffer', 'acid']"
62a0cece9bbab800502f2e90,Acid catalysis,5,5,649882362033088-2053312_5_5.mp4,A constant rate is evidence for a specific acid catalyst.,"[(172, 192)]",['acid']
62a0cece9bbab800502f2e90,Acid catalysis,5,6,0068039261249772665-2053312_5_6.mp4,"When reactions are conducted in nonpolar media, this kind of catalysis is important because the acid is often not ionized.","[(128, 183), (192, 215), (326, 343), (409, 445)]","['nonpolar', 'media', 'acid', 'ionized']"
62a0cece9bbab800502f2e90,Acid catalysis,5,7,27383915145520543-2053312_5_7.mp4,Enzymes catalyze reactions using general-acid and general-base catalysis.,"[(54, 109), (208, 221), (249, 272)]","['enzymes', 'acid', 'base']"
62a1edef6110330050235169,EDGE species,0,0,48494157973191854-12438552&targe_0_0.mp4,"Evolutionarily Distinct and Globally Endangered (EDGE) species are animal species which have a high EDGE score, a metric combining endangered conservation status with distinctiveness of taxon.","[(3, 100), (108, 154), (220, 256), (275, 336), (371, 404), (499, 522), (531, 551), (668, 704), (732, 752), (806, 880), (912, 944)]","['Evolutionarily', 'Distinct ', 'Globally ', 'Endangered', 'EDGE', 'EDGE', 'Score', 'distinctiveness', 'Status', 'Distinctive', 'species']"
62a1edef6110330050235169,EDGE species,0,1,28180302194078144-12438552&targe_0_1.mp4,"Distinctive species have few closely related species, and EDGE species are often the only surviving member of their genus or even higher taxonomic rank.","[(28, 96), (99, 119), (144, 154), (275, 295), (409, 426), (432, 436), (483, 519), (521, 535)]","['Distinctive', 'Species ', 'few', 'EDGE', 'Genus ', 'Or', 'taxonomic', 'Rank']"
62a1edef6110330050235169,EDGE species,0,2,41534669213038367-12438552_0_2.mp4,"The extinction of such species would therefore represent a disproportionate loss of unique evolutionary history, biodiversity and potential for future evolution.","[(108, 122), (470, 496)]","['Species ', 'evolution']"
62a1edef6110330050235169,EDGE species,0,3,07141466512767591-12438552&targe_0_3.mp4,"Some EDGE species, such as elephants and pandas, are well known and already receive considerable conservation attention, but many others, such as the Vaquita (the world's rarest cetacean) the bumblebee bat (arguably the world's smallest mammal) and the egg-laying long-beaked echidnas are highly threatened yet remain poorly understood and are frequently overlooked by existing conservation frameworks.","[(22, 42), (51, 71), (124, 141), (358, 391), (473, 480), (505, 554), (771, 778), (928, 964), (982, 1040)]","['Edge', 'species', 'pandas', 'Vaquita ', 'rare', 'cetacean', 'mammal', 'long-beak', 'echidnas']"
62a1edef6110330050235169,EDGE species,0,4,2736855085278065-12438552_0_4.mp4,Recent research indicates that 70% of the world's most threatened and evolutionarily distinct mammal species are currently receiving little or no conservation attention.,[],[]
62a1edef6110330050235169,EDGE species,0,5,4543159029326731-12438552_0_5.mp4,"The Zoological Society of London (ZSL) launched a global conservation initiative, the EDGE of Existence Programme in 2007 to raise awareness and funds for the conservation of these species.","[(60, 100), (140, 157), (160, 164), (192, 205), (230, 256), (396, 420), (422, 436), (448, 484)]","['Zoological', 'Society ', 'of', 'London', '(ZSL)', 'EDGE', 'of', 'Existence']"
62a1edef6110330050235169,EDGE species,1,0,15785157632088787-12438552_1_0.mp4,ED,"[(41, 109), (121, 183), (208, 221)]","['E', 'D', 'Ed']"
62a1edef6110330050235169,EDGE species,1,1,7024958743265561-12438552_1_1.mp4,Some species are more distinct than others because they represent a larger amount of unique evolution.,"[(70, 84)]",['species ']
62a1edef6110330050235169,EDGE species,1,1,7024958743265561-12438552_1_1.mp4,Some species are more distinct than others because they represent a larger amount of unique evolution.,"[(92, 112)]","['species']"
62a1edef6110330050235169,EDGE species,1,11,867744850461035-12438552_1_11.mp4,"Thus, a long branch which produces few species will have a high ED, as the corresponding species are relatively distinctive, with few close relatives.","[(60, 68), (86, 100), (153, 164), (169, 192), (316, 330), (342, 349), (361, 407), (451, 468), (499, 509)]","['a', 'branch', 'few', 'distinctive', 'species', 'relatively', 'distinctive', 'species', 'few']"
62a1edef6110330050235169,EDGE species,1,12,6759040266909124-12438552_1_12.mp4,"ED metrics are not exact, because of uncertainties in both the ordering of nodes and the length of segments.","[(35, 45), (150, 173), (179, 183), (224, 234), (284, 298)]","['ED', 'uncertain', 'the', 'nodes', 'seg']"
62a1edef6110330050235169,EDGE species,1,2,17990819993155327-12438552_1_2.mp4,Species like the aardvark have few close relatives and have been evolving independently for many millions of years.,"[(38, 68), (86, 125), (304, 314)]","['species ', 'aardvark', 'aardvark']"
62a1edef6110330050235169,EDGE species,1,3,299211449134942-12438552_1_3.mp4,Others like the domestic dog originated only recently and have many close relatives.,"[(89, 112)]",['domestic ']
62a1edef6110330050235169,EDGE species,1,4,3286455677650366-12438552_1_4.mp4,"Species uniqueness’ can be measured as an 'Evolutionary Distinctiveness' (ED) score, using a phylogeny, or evolutionary tree.","[(51, 80), (169, 215), (227, 292), (316, 333), (345, 359), (390, 452), (489, 522)]","['species ', 'evolutionary ', 'distinctiveness', '(ED)', 'score', 'phylogeny', 'evolutionary']"
62a1edef6110330050235169,EDGE species,1,5,09873237676082192-12438552_1_5.mp4,ED scores are calculated relative to a clade of species descended from a common ancestor.,"[(48, 58), (67, 80), (185, 205), (230, 253), (361, 394)]","['ED', 'score', 'clade', 'species', 'ancestor']"
62a1edef6110330050235169,EDGE species,1,6,8772776230865642-12438552_1_6.mp4,"The three clades for which the EDGE of Existence Programme has calculated scores are all classes, namely mammals, amphibians, and corals.",[],[]
62a1edef6110330050235169,EDGE species,1,7,6682270698075641-12438552_1_7.mp4,"The phylogenetic tree has the most recent common ancestor at the root, all the current species as the leaves, and intermediate nodes at each point of branching divergence.","[(60, 112), (227, 244), (291, 295), (307, 314), (393, 407)]","['Phylogenetic', 'ancestor', 'at', 'root', 'species']"
62a1edef6110330050235169,EDGE species,1,8,2909580785831043-12438552_1_8.mp4,"The branches are divided into segments (between one node and another node, a leaf, or the root).","[(12, 45), (105, 125), (150, 164), (230, 234), (246, 260), (265, 272), (294, 304)]","['Branch', 'segment', 'node', 'node', 'leaf', 'or', 'root']"
62a1edef6110330050235169,EDGE species,1,9,37960116418342915-12438552_1_9.mp4,Each segment is assigned an ED score defined as the timespan it covers (in millions of years) divided by the number of species at the end of the subtree it forms.,"[(150, 154), (163, 176), (438, 458), (496, 503)]","['ED', 'score', 'species', 'sub']"
62a1edef6110330050235169,EDGE species,2,0,3598189817516557-12438552_2_0.mp4,GE,"[(16, 61), (70, 116), (134, 148)]","['G', 'E', 'GE']"
62a1edef6110330050235169,EDGE species,2,1,7418392017365552-12438552_2_1.mp4,GE is a number corresponding to a species' conservation status according to the International Union for Conservation of Nature (IUCN) with more endangered species having a higher GE:,"[(38, 45), (134, 148), (185, 202), (355, 381), (448, 455), (489, 500)]","['GE', 'pecies ', 'status', 'CN', 'pecies', 'conservation']"
62a1edef6110330050235169,EDGE species,3,0,435501614126274-12438552_3_0.mp4,EDGE,"[(48, 80)]",['EDGE']
62a1edef6110330050235169,EDGE species,3,1,9278475985718819-12438552_3_1.mp4,The EDGE score of a species is derived from its scores for Evolutionary Distinctness (ED) and for Globally Endangered status (GE) as follows:,"[(70, 87), (92, 103), (134, 151), (211, 228), (246, 256), (291, 311)]","['EDGE', 'score', 'species', 'score', 'ED', 'GE']"
62a1edef6110330050235169,EDGE species,3,2,5054909345375962-12438552_3_2.mp4,EDGE scores are an estimate of the expected loss of evolutionary history per unit time.,"[(0, 71), (76, 84)]","['EDGE', 'score']"
62a1edef6110330050235169,EDGE species,3,3,6491740054442017-12438552_3_3.mp4,"EDGE species are species which have an above average ED score and are threatened with extinction (Critically Endangered, Endangered or Vulnerable).","[(3, 10), (28, 32), (124, 132), (137, 141), (243, 282), (345, 349)]","['DGE', 'species', 'ED', 'score', 'critically', 'or']"
62a1edef6110330050235169,EDGE species,3,4,4628497276665291-12438552_3_4.mp4,Potential EDGE species are those with high ED scores but whose conservation status is unclear (Data deficient or Not evaluated).,"[(131, 151), (217, 221), (224, 231), (284, 295), (352, 359), (384, 388)]","['EDGE', 'ED', 'score', 'status', 'data', 'or']"
62a1edef6110330050235169,EDGE species,4,0,45388483234124677-12438552_4_0.mp4,Focal species,"[(54, 77), (112, 141)]","['Focal', 'species']"
62a1edef6110330050235169,EDGE species,4,1,8898066077085596-12438552_4_1.mp4,"Focal Species are typically selected from the priority EDGE Species—the Top 100 amphibians, birds, mammals and reptiles, Top 50 sharks and rays, and Top 25 corals—however, they also prioritise species outside these rankings.","[(115, 128), (208, 221), (224, 244), (300, 349), (425, 448), (480, 516), (566, 583), (611, 624), (678, 698), (851, 855)]","['species ', 'EDGE', 'species', 'amphibians', 'mammals', 'reptiles', 'sharks', 'rays', 'coral', 'rank']"
62a1edef6110330050235169,EDGE species,4,2,4772806482623113-12438552_4_2.mp4,Focal Species can also be species with very high ED but fall outside the Top 100 EDGE rankings.,"[(44, 64), (70, 93), (182, 189)]","['focal', 'species ', 'ED']"
62a1edef6110330050235169,EDGE species,4,3,0346904477281349-12438552_4_3.mp4,"The primary approach to conserving EDGE Focal Species is through EDGE Fellows, who collect vital data on these species and work towards implementing conservation action plans.","[(108, 135), (147, 180), (211, 231), (259, 276), (284, 314), (368, 384), (416, 429), (460, 474)]","['EDGE', 'focal', 'species', 'EDGE', 'fellow', 'vital', 'data', 'species']"
62a1edef6110330050235169,EDGE species,4,4,46628572468916296-12438552_4_4.mp4,"These plans provide information on the conservation actions highlighted by the research programme, and identify key stakeholders that will carry out these actions.","[(361, 413)]",['stakeholders']
624b3778f1a4ec0048766482,EDGE species,0,0,4513673082746654-12438552_0_0.mp4,"Evolutionarily Distinct and Globally Endangered (EDGE) species are animal species which have a high EDGE score, a metric combining endangered conservation status with distinctiveness of taxon.","[(48, 138), (153, 202), (220, 266), (275, 320), (352, 378), (537, 554)]","['Evolutionarily ', 'Distinct', 'Globally', 'endangered ', 'EDGE', 'EDGE']"
624b3778f1a4ec0048766482,EDGE species,0,1,8262715159869318-12438552_0_1.mp4,"Distinctive species have few closely related species, and EDGE species are often the only surviving member of their genus or even higher taxonomic rank.","[(272, 298), (553, 564)]","['EDGE', 'rank']"
624b3778f1a4ec0048766482,EDGE species,0,2,6841709728306957-12438552_0_2.mp4,"The extinction of such species would therefore represent a disproportionate loss of unique evolutionary history, biodiversity and potential for future evolution.",[],[]
